uw_branch, 2018_gross ,zip,lat,long,city,county,state
"UNITED WAY OF ANDERSON COUNTY, INC."," $1,012,770 ",37831,34.508533,-82.652753,Oak Ridge,Anderson,TN
UNITED WAY OF BEDFORD COUNTY," $136,970 ",37162,35.488892,-86.460975,Shelbyville,Bedford,TN
UNITED WAY OF BENTON COUNTY," $140,755 ",38320,36.05142,-88.11364,Camden,Benton,TN
UNITED WAY OF BLOUNT COUNTY," $2,279,080 ",37804,35.79207,-83.89311,Maryville,Blount,TN
"UNITED WAY OF BRISTOL, TN-VA"," $2,295,084 ",37621,36.584904,-82.185553,Bristol,Sullivan,TN
UNITED WAY OF DICKSON COUNTY," $123,394 ",37056,35.95363,-86.822937,Dickson,Dickson,TN
UNITED WAY OF ELIZABETHTON/CARTER COUNTY," $156,379 ",37644,36.348141,-82.215415,Elizabethton,Carter,TN
UNITED WAY OF FRANKLIN COUNTY," $204,355 ",37398,35.18375,-86.13986,Winchester,Franklin,TN
UNITED WAY OF GREATER CHATTANOOGA," $4,734,755 ",37405,35.12144,-85.4059,Chattanooga,Hamilton,TN
"UNITED WAY OF GREATER KINGSPORT, INC."," $3,600,716 ",37660,36.52903,-82.57457,Kingsport,Sullivan,TN
UNITED WAY OF GREATER KNOXVILLE," $11,526,914 ",37921,35.9793,-84.00293,Knoxville,Knox,TN
UNITED WAY OF GREATER NASHVILLE," $34,133,914 ",37228,36.19498,-86.80403,Nashville,Davidson,TN
"UNITED WAY OF GREENE COUNTY, INC."," $436,681 ",37743,36.0655,-82.85674,Greeneville,Greene,TN
UNITED WAY OF HAMBLEN COUNTY," $1,359,883 ",37816,35.966763,-83.932363,Morristown,Hamblen,TN
UNITED WAY OF HAWKINS COUNTY," $178,470 ",37857,36.42008,-82.94222,Rogersville,Hawkins,TN
UNITED WAY OF HIGHWAY 55," $52,319 ",37388,35.34685,-86.21997,Tullahoma,Coffee,TN
UNITED WAY OF HUMPHREYS COUNTY," $233,076 ",37185,36.06968,-87.83801,Waverly,Humphreys,TN
UNITED WAY OF LOUDON COUNTY," $451,553 ",37771,35.83931,-84.31656,Lenoir City,Loudon,TN
"UNITED WAY OF MAURY COUNTY, INC."," $163,043 ",38402,35.615587,-87.038202,Columbia,Maury,TN
UNITED WAY OF MCMINN AND MEIGS COUNTIES," $751,158 ",37371,35.048569,-85.309172,Athens,McMinn,TN
"UNITED WAY OF OBION COUNTY, INC."," $64,861 ",38281,36.422781,-89.058156,Obion,Obion,TN
UNITED WAY OF RHEA COUNTY," $220,891 ",37321,35.50222,-85.00768,Dayton,Rhea,TN
UNITED WAY OF ROANE COUNTY," $366,246 ",37748,35.94879,-84.5134,Harriman,Roane,TN
UNITED WAY OF RUTHERFORD AND CANNON COUNTIES," $3,335,101 ",37133,35.83525,-86.392178,Murfreesboro,Rutherford,TN
UNITED WAY OF SEVIER COUNTY," $471,796 ",37864,35.86806,-83.561939,Sevierville,Sevier,TN
UNITED WAY OF SUMNER COUNTY," $891,419 ",37066,36.39872,-86.45526,Gallatin,Sumner,TN
"UNITED WAY OF THE GREATER CLARKSVILLE REGION, INC."," $1,092,407 ",37040,36.52333,-87.33337,Clarksville,Montgomery,TN
UNITED WAY OF THE MID-SOUTH," $17,990,305 ",38112,35.14785,-89.97668,Memphis,Shelby,TN
"UNITED WAY OF THE OCOEE REGION, INC."," $5,502,169 ",37364,35.1056,-84.86505,Cleveland,Bradley,TN
"UNITED WAY OF WASHINGTON COUNTY TENNESSEE, INC."," $1,454,401 ",37602,36.30425,-82.38449,Johnson City,Washington,TN
"UNITED WAY OF WEST TENNESSEE, INC."," $1,907,367 ",38305,35.70199,-88.76793,Jackson,Madison,TN
UNITED WAY OF WILSON COUNTY AND THE UPPER CUMBERLAND," $609,258 ",37088,36.206033,-86.288115,Lebanon,Wilson,TN
UNITED WAYS OF TENNESSEE," $371,583 ",37067,35.91374,-86.77839,Franklin,Williamson,TN
